시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션거래량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가
2026-03-16 14:08,스냅샷,B0164812,,,,44.1,56.1946,0.3983,0.8462,0.8102,0.2856,,61,45.6,1,49,5,51.9,2,52,1,125.95,2,45.35,1,45.3,1,41.5,5,41.45,2,41.05,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.11,56.1985,0.3983,0.8462,0.8102,0.2856,,61,45.6,1,49,5,51.9,2,52,1,125.95,2,45.35,1,45.3,1,41.5,5,41.45,2,41.05,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.06,56.1627,0.3984,0.8463,0.8102,0.2854,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.4,1,45.35,1,44.95,2,41.5,5,41.45,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.08,56.1746,0.3984,0.8463,0.8102,0.2855,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.35,1,41.5,5,41.45,2,37.8,1,30,1,11,126,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.05,56.1547,0.3985,0.8463,0.8102,0.2853,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.4,1,45.35,1,44.95,2,41.5,5,41.45,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.1,56.1946,0.3983,0.8462,0.8102,0.2856,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.4,1,45.35,1,44.95,2,41.5,5,41.45,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.15,56.2304,0.3982,0.8462,0.8102,0.2858,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.4,1,45.35,1,44.95,2,41.5,5,41.45,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,43.97,56.0989,0.3986,0.8463,0.8102,0.285,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.4,1,45.35,1,44.95,2,41.5,5,41.45,2,11,129,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.14,56.2185,0.3983,0.8462,0.8102,0.2857,,61,45.65,1,49,5,51.9,2,52,1,125.95,2,45.35,1,41.5,5,41.45,2,37.8,1,30,1,11,126,101,140900,1131.91,21.05,1.83,286,1156.5
2026-03-16 14:09,스냅샷,B0164812,,,,44.15,56.2264,0.3983,0.8462,0.8102,0.2858,,61,45.6,1,45.65,1,46.05,2,49,5,51.9,2,45.3,1,41.5,5,41.45,2,41.05,2,37.8,1,14,128,101,140900,1131.91,21.05,1.83,286,1156.5
