시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션거래량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가
2026-03-16 13:40,스냅샷,B0164812,,,,44.75,56.6519,0.397,0.8458,0.8101,0.2881,,61,46.35,1,46.4,1,46.85,2,47.1,5,47.15,1,46.05,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.66,56.5844,0.3972,0.8459,0.8101,0.2878,,61,46.35,1,46.4,1,46.85,2,47.1,5,47.15,1,46.05,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.71,56.6201,0.3971,0.8459,0.8101,0.288,,61,46.4,1,47.1,5,47.15,1,51.9,2,52,1,46.1,1,46.05,1,45.65,2,42.5,5,41.45,2,12,129,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.64,56.5764,0.3973,0.8459,0.8101,0.2877,,61,46.3,1,46.35,1,46.8,2,47.1,5,47.15,1,46.05,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.62,56.5606,0.3973,0.8459,0.8101,0.2876,,61,46.3,1,46.35,1,46.8,2,47.1,5,47.15,1,46.05,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.65,56.5804,0.3972,0.8459,0.8101,0.2877,,61,46.4,1,47.1,5,47.15,1,47.55,2,51.9,2,46.1,1,46.05,1,45.65,2,42.5,5,41.45,2,14,129,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.7,56.6162,0.3971,0.8459,0.8101,0.2879,,61,46.45,1,46.5,1,47.1,5,47.15,1,47.55,2,46.2,1,46.15,1,45.65,2,42.5,5,41.45,2,15,129,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.75,56.6519,0.397,0.8458,0.8101,0.2881,,61,46.45,1,46.5,1,47.1,5,47.15,1,47.55,2,46.2,1,46.15,1,45.65,2,42.5,5,41.45,2,15,129,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.58,56.5288,0.3974,0.846,0.8101,0.2875,,61,46.45,1,46.5,1,47.1,5,47.15,1,47.55,2,46.2,1,46.15,1,45.65,2,42.5,5,41.45,2,15,129,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.66,56.5844,0.3972,0.8459,0.8101,0.2878,,61,46.4,1,46.45,1,46.85,2,47.1,5,47.15,1,46.15,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134010,1133.12,19.84,1.72,293,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.71,56.6201,0.3971,0.8459,0.8101,0.288,,61,46.4,1,46.45,1,46.85,2,47.1,5,47.15,1,46.15,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134020,1133.17,19.79,1.72,289,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.71,56.6201,0.3971,0.8459,0.8101,0.288,,61,46.4,1,46.45,1,46.85,2,47.1,5,47.15,1,46.15,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134020,1133.17,19.79,1.72,289,1156.5
2026-03-16 13:40,스냅샷,B0164812,,,,44.63,56.5685,0.3973,0.8459,0.8101,0.2877,,61,46.4,1,46.45,1,46.85,2,47.1,5,47.15,1,46.15,1,42.5,5,41.45,2,37.8,1,30,1,15,126,101,134020,1133.17,19.79,1.72,289,1156.5
