timestamp,data_type,option_code,option_time,option_price,option_volume,option_theoretical,option_iv,option_delta,option_gamma,option_theta,option_vega,option_rho,option_open_interest,option_ask_1,option_ask_qty_1,option_ask_2,option_ask_qty_2,option_ask_3,option_ask_qty_3,option_ask_4,option_ask_qty_4,option_ask_5,option_ask_qty_5,option_bid_1,option_bid_qty_1,option_bid_2,option_bid_qty_2,option_bid_3,option_bid_qty_3,option_bid_4,option_bid_qty_4,option_bid_5,option_bid_qty_5,option_ask_total,option_bid_total,stock_code,stock_time,stock_price
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120234,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120235,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120235,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120237,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120238,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120239,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930,120240,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120241,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120242,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120243,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120244,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120245,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120246,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120247,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120248,184200
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120249,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120250,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120251,184200
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120252,184200
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120253,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120254,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120255,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120256,184200
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120257,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120258,184300
2026-03-13 12:02,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120259,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120300,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120301,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120302,184200
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120303,184200
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120304,184200
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120305,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120306,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120307,184300
2026-03-13 12:03,snapshot,B1164089,,,,,,,,,,,,14000,16,14200,48,15600,4,0,0,0,0,13600,74,13000,2,11000,1,8000,10,300,1,68,228,5930,120308,184250
