시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션거래량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-23 13:26,스냅샷,B0164815,,,,31.72,50.4568,0.4777,0.7181,0.9523,0.1861,,267,,,,,,,,,,,,,,,,,,,,,,,201,132656,812.13,50.37,5.84,1,829.96,0,NONE,0,0
2026-03-23 13:26,스냅샷,B0164815,,,,31.7,50.4424,0.4777,0.7181,0.9523,0.186,,267,,,,,,,,,,,,,,,,,,,,,,,201,132657,812.1,50.4,5.84,1,829.96,0,NONE,0,0
2026-03-23 13:26,스냅샷,B0164815,,,,31.71,50.452,0.4777,0.7181,0.9523,0.186,,267,,,,,,,,,,,,,,,,,,,,,,,201,132658,812.12,50.38,5.84,9,829.96,0,NONE,0,0
2026-03-23 13:26,스냅샷,B0164815,,,,31.79,50.5284,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132659,812.28,50.22,5.82,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.7,50.4424,0.4777,0.7181,0.9523,0.186,,267,,,,,,,,,,,,,,,,,,,,,,,201,132700,812.1,50.4,5.84,11,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.77,50.5093,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132701,812.24,50.26,5.83,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.77,50.5045,0.4776,0.7182,0.9524,0.1862,,267,,,,,,,,,,,,,,,,,,,,,,,201,132702,812.23,50.27,5.83,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.77,50.5093,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132703,812.24,50.26,5.83,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.77,50.5093,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132704,812.24,50.26,5.83,1,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.76,50.495,0.4777,0.7182,0.9524,0.1862,,267,,,,,,,,,,,,,,,,,,,,,,,201,132705,812.21,50.29,5.83,10,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.76,50.495,0.4777,0.7182,0.9524,0.1862,,267,,,,,,,,,,,,,,,,,,,,,,,201,132706,812.21,50.29,5.83,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.68,50.4186,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132707,812.05,50.45,5.85,5,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.62,50.366,0.4778,0.7179,0.9521,0.1857,,267,,,,,,,,,,,,,,,,,,,,,,,201,132708,811.94,50.56,5.86,3,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.78,50.5141,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132709,812.25,50.25,5.83,5,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.78,50.5189,0.4776,0.7182,0.9525,0.1863,,267,,,,,,,,,,,,,,,,,,,,,,,201,132710,812.26,50.24,5.82,5,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.69,50.4281,0.4777,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132711,812.07,50.43,5.85,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.69,50.4329,0.4777,0.718,0.9522,0.186,,267,,,,,,,,,,,,,,,,,,,,,,,201,132712,812.08,50.42,5.85,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.67,50.4138,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132713,812.04,50.46,5.85,3,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.72,50.4615,0.4777,0.7181,0.9523,0.1861,,267,,,,,,,,,,,,,,,,,,,,,,,201,132714,812.14,50.36,5.84,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.74,50.4807,0.4777,0.7181,0.9524,0.1862,,267,,,,,,,,,,,,,,,,,,,,,,,201,132715,812.18,50.32,5.83,3,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.68,50.4186,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132716,812.05,50.45,5.85,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.62,50.3612,0.4778,0.7179,0.9521,0.1857,,267,,,,,,,,,,,,,,,,,,,,,,,201,132717,811.93,50.57,5.86,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.68,50.4233,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132718,812.06,50.44,5.85,3,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.76,50.495,0.4777,0.7182,0.9524,0.1862,,267,,,,,,,,,,,,,,,,,,,,,,,201,132719,812.21,50.29,5.83,4,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.68,50.4233,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132720,812.06,50.44,5.85,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.65,50.3947,0.4778,0.718,0.9521,0.1858,,267,,,,,,,,,,,,,,,,,,,,,,,201,132721,812,50.5,5.86,2,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.69,50.4281,0.4777,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132722,812.07,50.43,5.85,6,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.61,50.3564,0.4778,0.7179,0.952,0.1857,,267,,,,,,,,,,,,,,,,,,,,,,,201,132723,811.92,50.58,5.86,1,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.66,50.4042,0.4778,0.718,0.9522,0.1858,,267,,,,,,,,,,,,,,,,,,,,,,,201,132724,812.02,50.48,5.85,3,829.96,0,NONE,0,0
2026-03-23 13:27,스냅샷,B0164815,,,,31.67,50.4138,0.4778,0.718,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,132725,812.04,50.46,5.85,2,829.96,0,NONE,0,0
