시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션누적거래량,옵션체결수량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-26 11:49:00,스냅샷,B0164830,,,,,22.70,42.0131,0.4988,0.6413,1.0439,0.1304,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114859,810.41,28.29,3.37,4,829.60,0,NONE,0,0
2026-03-26 11:49:01,스냅샷,B0164830,,,,,22.78,42.1079,0.4989,0.6418,1.0447,0.1307,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114900,810.60,28.10,3.35,2,829.60,0,NONE,0,0
2026-03-26 11:49:02,스냅샷,B0164830,,,,,22.64,41.9433,0.4987,0.6410,1.0433,0.1302,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114901,810.27,28.43,3.39,2,829.60,0,NONE,0,0
2026-03-26 11:49:03,스냅샷,B0164830,,,,,22.73,42.0431,0.4988,0.6415,1.0442,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114902,810.47,28.23,3.37,3,829.60,0,NONE,0,0
2026-03-26 11:49:04,스냅샷,B0164830,,,,,22.80,42.1329,0.4990,0.6419,1.0449,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114903,810.65,28.05,3.34,2,829.60,0,NONE,0,0
2026-03-26 11:49:05,스냅샷,B0164830,,,,,22.74,42.0580,0.4989,0.6416,1.0443,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114904,810.50,28.20,3.36,1,829.60,0,NONE,0,0
2026-03-26 11:49:06,스냅샷,B0164830,,,,,22.73,42.0431,0.4988,0.6415,1.0442,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114905,810.47,28.23,3.37,2,829.60,0,NONE,0,0
2026-03-26 11:49:07,스냅샷,B0164830,,,,,22.73,42.0431,0.4988,0.6415,1.0442,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114906,810.47,28.23,3.37,6,829.60,0,NONE,0,0
2026-03-26 11:49:08,스냅샷,B0164830,,,,,22.73,42.0481,0.4989,0.6415,1.0442,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114907,810.48,28.22,3.36,4,829.60,0,NONE,0,0
2026-03-26 11:49:09,스냅샷,B0164830,,,,,22.81,42.1379,0.4990,0.6419,1.0450,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114908,810.66,28.04,3.34,1,829.60,0,NONE,0,0
