step,timestamp,index_price,option_mid,option_delta,market_bid,market_ask,market_spread,cash,inventory,net_delta,reservation_price,lp_bid,lp_ask,lp_spread,pnl,time_remaining_ratio,total_trades,total_bought,total_sold
11,11.0,1131.94,45.425,0.3983,45.3,45.55,0.25,0.0,0,0.0,45.425,44.582109119690045,46.26789088030995,1.6857817606199035,0.0,0.9875283446712018,0,0,0
12,12.0,1131.94,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,44.63233587705967,46.317664122940336,1.6853282458806689,0.0,0.9863945578231292,0,0,0
13,13.0,1131.94,45.45,0.3984,45.3,45.6,0.30000000000000426,46.29243736557073,-1,0.0,45.45,44.60756263442928,46.29243736557073,1.6848747311414485,0.8424373655707242,0.9852607709750567,1,0,1
14,14.0,1131.94,45.45,0.3985,45.3,45.6,0.30000000000000426,46.29243736557073,-1,-0.3985,45.46960873015873,44.627398121957626,46.31181933835984,1.6844212164022139,0.8424373655707242,0.9841269841269841,1,0,1
15,15.0,1131.94,45.425,0.3985,45.3,45.55,0.25,46.29243736557073,-1,-0.3985,45.44458613945578,44.60260228862428,46.286569990287276,1.6839677016629935,0.8674373655707299,0.9829931972789115,1,0,1
16,16.0,1131.94,45.425,0.3983,45.3,45.55,0.25,46.29243736557073,-1,-0.3983,45.44455373015873,44.60279663669685,46.28631082362061,1.6835141869237589,0.8674373655707299,0.981859410430839,1,0,1
17,17.0,1131.94,45.475,0.3985,45.35,45.6,0.25,46.29243736557073,-1,-0.3985,45.49454095804989,44.65301062195763,46.33607129414215,1.6830606721845243,0.8174373655707257,0.9807256235827665,1,0,1
18,18.0,1131.94,45.425,0.3983,45.3,45.55,0.25,46.29243736557073,-1,-0.3983,45.44450857142857,44.60320499270592,46.28581215015122,1.6826071574453039,0.8674373655707299,0.9795918367346939,1,0,1
19,19.0,1131.94,45.375,0.3985,45.25,45.5,0.25,46.29243736557073,-1,-0.3985,45.39449577664399,44.55341895529096,46.23557259799703,1.6821536427060693,0.9174373655707271,0.9784580498866213,1,0,1
20,20.0,1132.25,45.35,0.3983,45.2,45.5,0.29999999999999716,46.29243736557073,-1,-0.3983,45.369463412698416,44.52861334871499,46.21031347668184,1.6817001279668489,0.9424373655707257,0.9773242630385488,1,0,1
21,21.0,1132.25,45.35,0.3986,45.2,45.5,0.29999999999999716,46.29243736557073,-1,-0.3986,45.36945547619048,44.528832169576674,46.21007878280429,1.6812466132276143,0.9424373655707257,0.9761904761904762,1,0,1
22,22.0,1132.25,45.35,0.3986,45.2,45.5,0.29999999999999716,46.29243736557073,-1,-0.3986,45.369432879818596,44.52903633057441,46.209829429062786,1.6807930984883797,0.9424373655707257,0.9750566893424036,1,0,1
23,23.0,1132.25,45.275,0.3986,45.15,45.4,0.25,46.29243736557073,-1,-0.3986,45.29441028344671,44.45424049157213,46.13458007532129,1.6803395837491593,1.0174373655707285,0.9739229024943311,1,0,1
24,24.0,1132.25,45.3,0.3985,45.15,45.45,0.30000000000000426,46.29243736557073,-1,-0.3985,45.319382823129246,44.47943978862428,46.15932585763421,1.6798860690099247,0.9924373655707299,0.9727891156462585,1,0,1
25,25.0,1132.25,45.3,0.3985,45.15,45.45,0.30000000000000426,92.45151387513238,-2,-0.3985,45.3193602324263,44.479643955290946,46.15907650956165,1.6794325542707043,1.8515138751323832,0.971655328798186,2,0,2
26,26.0,1132.25,45.25,0.3985,45.1,45.4,0.29999999999999716,92.45151387513238,-2,-0.797,45.288675283446715,44.44918576368098,46.12816480321245,1.6789790395314697,1.9515138751323775,0.9705215419501134,2,0,2
27,27.0,1132.25,45.275,0.3986,45.15,45.4,0.25,92.45151387513238,-2,-0.7972,45.31363979591836,44.474377033522245,46.15290255831448,1.678525524792235,1.9015138751323803,0.9693877551020408,2,0,2
28,28.0,1132.25,45.275,0.3986,45.15,45.4,0.25,92.45151387513238,-2,-0.7972,45.3135946031746,44.47455859814809,46.15263060820111,1.6780720100530147,1.9015138751323803,0.9682539682539683,2,0,2
29,29.0,1132.25,45.325,0.3985,45.2,45.45,0.25,92.45151387513238,-2,-0.797,45.363539739229026,44.524730491572136,46.202348986885916,1.67761849531378,1.8015138751323718,0.9671201814058957,2,0,2
30,30.0,1132.12,45.275,0.3984,45.15,45.4,0.25,92.45151387513238,-2,-0.7968,45.313484897959185,44.474902407671905,46.152067388246465,1.6771649805745596,1.9015138751323803,0.9659863945578231,2,0,2
31,31.0,1132.12,45.275,0.3985,45.15,45.4,0.25,92.45151387513238,-2,-0.797,45.31344937641723,44.47509364349957,46.151805109334894,1.676711465835325,1.9015138751323803,0.9648526077097506,2,0,2
32,32.0,1132.12,45.25,0.3985,45.1,45.4,0.29999999999999716,92.45151387513238,-2,-0.797,45.28840419501134,44.45027521946329,46.126533170559384,1.6762579510960904,1.9515138751323775,0.963718820861678,2,0,2
33,33.0,1132.12,45.125,0.3986,45.0,45.25,0.25,92.45151387513238,-2,-0.7972,45.16336863945578,44.32546642127735,46.00127085763422,1.67580443635687,2.2015138751323775,0.9625850340136054,2,0,2
34,34.0,1132.12,45.175,0.3988,45.05,45.3,0.25,48.075846660204235,-1,-0.7976,45.21334267573696,44.37566721492814,46.05101813654578,1.6753509216176354,2.9008466602042375,0.9614512471655329,3,1,2
35,35.0,1132.12,45.175,0.3989,45.05,45.3,0.25,48.075846660204235,-1,-0.3989,45.19415353174603,44.35670482830683,46.03160223518523,1.6748974068784008,2.9008466602042375,0.9603174603174603,3,1,2
36,36.0,1132.12,45.175,0.3988,45.05,45.3,0.25,48.075846660204235,-1,-0.3988,45.19412612244898,44.35690417637939,46.03134806851857,1.6744438921391804,2.9008466602042375,0.9591836734693877,3,1,2
37,37.0,1132.12,45.15,0.3988,45.0,45.3,0.29999999999999716,48.075846660204235,-1,-0.3988,45.16910351473923,44.332108326039254,46.0060987034392,1.6739903773999458,2.925846660204236,0.9580498866213152,3,1,2
38,38.0,1132.12,45.2,0.399,45.05,45.35,0.30000000000000426,48.075846660204235,-1,-0.399,45.21909047619048,44.38232204486012,46.05585890752084,1.6735368626607254,2.875846660204232,0.9569160997732427,3,1,2
39,39.0,1132.12,45.2,0.3989,45.05,45.35,0.30000000000000426,48.075846660204235,-1,-0.3989,45.219063078231294,44.38252140427055,46.05560475219204,1.6730833479214908,2.875846660204232,0.95578231292517,3,1,2
40,40.0,1132.16,45.175,0.3988,45.05,45.3,0.25,48.075846660204235,-1,-0.3988,45.194035691609976,44.35772077501885,46.030350608201104,1.6726298331822562,2.9008466602042375,0.9546485260770975,3,1,2
41,41.0,1132.16,45.05,0.3987,44.9,45.2,0.30000000000000426,48.075846660204235,-1,-0.3987,45.069008316326524,44.232920157105006,45.90509647554804,1.6721763184430358,3.0258466602042375,0.953514739229025,3,1,2
42,42.0,1132.16,45.05,0.399,44.9,45.2,0.30000000000000426,3.84270806205614,0,-0.399,45.068999999999996,44.233138598148095,45.904861401851896,1.6717228037038012,3.84270806205614,0.9523809523809523,4,2,2
43,43.0,1132.16,45.05,0.3992,44.9,45.2,0.30000000000000426,3.84270806205614,0,0.0,45.05,44.21436535551771,45.88563464448229,1.6712692889645808,3.84270806205614,0.9512471655328798,4,2,2
44,44.0,1132.16,45.0,0.399,44.85,45.15,0.29999999999999716,3.84270806205614,0,0.0,45.0,44.16459211288733,45.83540788711267,1.6708157742253462,3.84270806205614,0.9501133786848073,4,2,2
45,45.0,1132.16,44.975,0.3989,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.139818870256946,45.81018112974306,1.6703622594861116,3.84270806205614,0.9489795918367347,4,2,2
46,46.0,1132.16,45.0,0.3991,44.85,45.15,0.29999999999999716,3.84270806205614,0,0.0,45.0,44.165045627626554,45.834954372373446,1.6699087447468912,3.84270806205614,0.9478458049886621,4,2,2
47,47.0,1132.16,44.975,0.399,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.14027238499617,45.80972761500383,1.6694552300076566,3.84270806205614,0.9467120181405896,4,2,2
48,48.0,1132.16,44.975,0.3991,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.14049914236578,45.80950085763422,1.6690017152684362,3.84270806205614,0.9455782312925171,4,2,2
49,49.0,1132.16,45.025,0.3991,44.9,45.15,0.25,3.84270806205614,0,0.0,45.025,44.1907258997354,45.8592741002646,1.6685482005292016,3.84270806205614,0.9444444444444444,4,2,2
50,50.0,1132.03,44.975,0.399,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.14095265710502,45.809047342894985,1.668094685789967,3.84270806205614,0.9433106575963719,4,2,2
51,51.0,1132.03,44.95,0.3993,44.8,45.1,0.30000000000000426,3.84270806205614,0,0.0,44.95,44.11617941447463,45.783820585525376,1.6676411710507466,3.84270806205614,0.9421768707482994,4,2,2
52,52.0,1132.03,44.975,0.3992,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.141406171844245,45.80859382815576,1.667187656311512,3.84270806205614,0.9410430839002267,4,2,2
53,53.0,1132.03,44.975,0.3992,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.141632929213856,45.80836707078615,1.6667341415722916,3.84270806205614,0.9399092970521542,4,2,2
54,54.0,1132.03,44.975,0.3993,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.14185968658347,45.80814031341653,1.666280626833057,3.84270806205614,0.9387755102040817,4,2,2
55,55.0,1132.03,44.975,0.3993,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.14208644395309,45.80791355604691,1.6658271120938224,3.84270806205614,0.937641723356009,4,2,2
56,56.0,1132.03,44.975,0.3992,44.85,45.1,0.25,3.84270806205614,0,0.0,44.975,44.1423132013227,45.8076867986773,1.665373597354602,3.84270806205614,0.9365079365079365,4,2,2
57,57.0,1132.03,45.025,0.3994,44.9,45.15,0.25,3.84270806205614,0,0.0,45.025,44.192539958692315,45.85746004130768,1.6649200826153674,3.84270806205614,0.935374149659864,4,2,2
58,58.0,1132.03,45.05,0.3992,44.9,45.2,0.30000000000000426,3.84270806205614,0,0.0,45.05,44.21776671606193,45.88223328393806,1.6644665678761328,3.84270806205614,0.9342403628117913,4,2,2
59,59.0,1132.03,45.05,0.3991,44.9,45.2,0.30000000000000426,3.84270806205614,0,0.0,45.05,44.21799347343154,45.88200652656845,1.6640130531369124,3.84270806205614,0.9331065759637188,4,2,2
60,60.0,1132.08,45.05,0.3991,44.9,45.2,0.30000000000000426,3.84270806205614,0,0.0,45.05,44.21822023080116,45.881779769198836,1.6635595383976778,3.84270806205614,0.9319727891156463,4,2,2
61,61.0,1132.08,45.0,0.3992,44.85,45.15,0.29999999999999716,3.84270806205614,0,0.0,45.0,44.16844698817077,45.83155301182923,1.6631060236584574,3.84270806205614,0.9308390022675737,4,2,2
62,62.0,1132.08,45.025,0.3993,44.9,45.15,0.25,-40.35096568348425,1,0.0,45.025,44.19367374554039,45.85632625445961,1.6626525089192228,4.674034316515751,0.9297052154195011,5,3,2
63,63.0,1132.08,45.05,0.3993,44.9,45.2,0.30000000000000426,-40.35096568348425,1,0.3993,45.031461071428566,44.20036157433857,45.86256056851856,1.6621989941799882,4.69903431651575,0.9285714285714286,5,3,2
64,64.0,1132.08,44.975,0.3992,44.85,45.1,0.25,-40.35096568348425,1,0.3992,44.9564883446712,44.125615604950816,45.787361084391584,1.6617454794407678,4.624034316515754,0.927437641723356,5,3,2
65,65.0,1132.08,44.975,0.3992,44.85,45.1,0.25,-40.35096568348425,1,0.3992,44.95651097505669,44.12586499270592,45.787156957407454,1.6612919647015332,4.624034316515754,0.9263038548752834,5,3,2
66,66.0,1132.08,44.975,0.3992,44.85,45.1,0.25,-40.35096568348425,1,0.3992,44.956533605442175,44.12611438046102,45.78695283042333,1.6608384499623128,4.624034316515754,0.9251700680272109,5,3,2
67,67.0,1132.08,44.975,0.3994,44.85,45.1,0.25,5.435773779592147,0,0.3994,44.956546995464855,44.126354527853316,45.786739463076394,1.6603849352230782,5.435773779592147,0.9240362811791383,6,3,3
68,68.0,1132.08,45.025,0.3992,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.19503428975808,45.85496571024192,1.6599314204838436,5.435773779592147,0.9229024943310657,6,3,3
69,69.0,1132.08,45.025,0.399,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.19526104712769,45.85473895287231,1.6594779057446232,5.435773779592147,0.9217687074829932,6,3,3
70,70.0,1131.61,45.025,0.3992,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.195487804497304,45.85451219550269,1.6590243910053886,5.435773779592147,0.9206349206349206,6,3,3
71,71.0,1131.61,45.025,0.399,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.195714561866914,45.85428543813308,1.6585708762661682,5.435773779592147,0.9195011337868481,6,3,3
72,72.0,1131.61,45.025,0.3992,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.19594131923653,45.854058680763465,1.6581173615269336,5.435773779592147,0.9183673469387755,6,3,3
73,73.0,1131.61,45.025,0.3989,44.9,45.15,0.25,5.435773779592147,0,0.0,45.025,44.19616807660615,45.85383192339385,1.657663846787699,5.435773779592147,0.9172335600907029,6,3,3
74,74.0,1131.61,45.075,0.3991,44.95,45.2,0.25,51.33937894561639,-1,0.0,45.075,44.246394833975764,45.90360516602424,1.6572103320484786,6.264378945616386,0.9160997732426304,7,3,4
75,75.0,1131.61,45.1,0.399,44.95,45.25,0.29999999999999716,51.33937894561639,-1,-0.399,45.118253571428575,44.28987516277395,45.9466319800832,1.656756817309244,6.239378945616387,0.9149659863945578,7,3,4
76,76.0,1131.61,45.075,0.399,44.95,45.2,0.25,51.33937894561639,-1,-0.399,45.09323095238096,44.265079301095945,45.92138260366597,1.6563033025700236,6.264378945616386,0.9138321995464853,7,3,4
77,77.0,1131.61,45.075,0.3991,44.95,45.2,0.25,51.33937894561639,-1,-0.3991,45.0932128968254,44.265288002910005,45.921137790740794,1.655849787830789,6.264378945616386,0.9126984126984127,7,3,4
78,78.0,1131.61,45.125,0.3991,45.0,45.25,0.25,51.33937894561639,-1,-0.3991,45.143190272108846,44.31549213556307,45.97088840865462,1.6553962730915543,6.214378945616389,0.9115646258503401,7,3,4
79,79.0,1131.61,45.175,0.399,45.05,45.3,0.25,51.33937894561639,-1,-0.399,45.19316309523809,44.365691716061924,46.02063447441426,1.654942758352334,6.1643789456163915,0.9104308390022676,7,3,4
80,80.0,1131.73,45.175,0.3991,45.05,45.3,0.25,51.33937894561639,-1,-0.3991,45.193145022675736,44.36590040086919,46.020389644482286,1.6544892436130993,6.1643789456163915,0.909297052154195,7,3,4
81,81.0,1131.73,45.2,0.3989,45.05,45.35,0.30000000000000426,97.38451012637987,-2,-0.3989,45.21811331632653,44.39109545188959,46.04513118076347,1.654035728873879,6.98451012637986,0.9081632653061225,8,3,5
82,82.0,1131.73,45.2,0.3989,45.05,45.35,0.30000000000000426,97.38451012637987,-2,-0.7978,45.23618140589569,44.40939029882837,46.062972512963015,1.6535822141346443,6.98451012637986,0.9070294784580499,8,3,5
83,83.0,1131.73,45.125,0.3991,45.0,45.25,0.25,97.38451012637987,-2,-0.7982,45.16115429705216,44.33458994735445,45.98771864674986,1.6531286993954097,7.134510126379865,0.9058956916099773,8,3,5
84,84.0,1131.73,45.125,0.3991,45.0,45.25,0.25,97.38451012637987,-2,-0.7982,45.16110904761905,44.334771455290955,45.987446639947144,1.6526751846561893,7.134510126379865,0.9047619047619048,8,3,5
85,85.0,1131.73,45.1,0.3989,44.95,45.25,0.29999999999999716,97.38451012637987,-2,-0.7978,45.13604572562358,44.309934890665104,45.96215656058206,1.6522216699169547,7.1845101263798625,0.9036281179138322,8,3,5
86,86.0,1131.73,45.125,0.3992,45.0,45.25,0.25,97.38451012637987,-2,-0.7984,45.161027573696146,44.33514349610728,45.98691165128501,1.6517681551777343,7.134510126379865,0.9024943310657596,8,3,5
87,87.0,1131.73,45.125,0.3991,45.0,45.25,0.25,97.38451012637987,-2,-0.7982,45.16097329931973,44.33531597910048,45.98663061953898,1.6513146404384997,7.134510126379865,0.9013605442176871,8,3,5
88,88.0,1131.73,45.075,0.399,44.95,45.2,0.25,97.38451012637987,-2,-0.798,45.11091904761905,44.28548848476942,45.93634961046868,1.6508611256992651,7.23451012637986,0.9002267573696145,8,3,5
89,89.0,1131.73,45.075,0.3989,44.95,45.2,0.25,97.38451012637987,-2,-0.7978,45.11086481859411,44.28566101311409,45.93606862407413,1.6504076109600447,7.23451012637986,0.8990929705215419,8,3,5
90,90.0,1131.77,45.075,0.3991,44.95,45.2,0.25,97.38451012637987,-2,-0.7982,45.11083755102041,44.285860502910005,45.935814599130815,1.6499540962208101,7.23451012637986,0.8979591836734694,8,3,5
91,91.0,1131.77,45.05,0.3989,44.9,45.2,0.30000000000000426,97.38451012637987,-2,-0.7978,45.08577436507936,44.26102407433857,45.91052465582015,1.6495005814815755,7.284510126379871,0.8968253968253969,8,3,5
92,92.0,1131.77,45.025,0.3987,44.9,45.15,0.25,97.38451012637987,-2,-0.7974,45.06071122448979,44.236187691118616,45.88523475786097,1.6490470667423551,7.334510126379868,0.8956916099773242,8,3,5
93,93.0,1131.77,44.975,0.3987,44.85,45.1,0.25,97.38451012637987,-2,-0.7974,45.010666020408166,44.186369244406606,45.83496279640973,1.6485935520031205,7.4345101263798625,0.8945578231292517,8,3,5
94,94.0,1131.77,44.95,0.399,44.8,45.1,0.30000000000000426,97.38451012637987,-2,-0.798,44.98564761904762,44.16157760041567,45.80971763767957,1.6481400372639001,7.48451012637986,0.8934240362811792,8,3,5
95,95.0,1131.77,45.025,0.399,44.9,45.15,0.25,97.38451012637987,-2,-0.798,45.06060238095238,44.23675911969005,45.884445642214715,1.6476865225246655,7.334510126379868,0.8922902494331065,8,3,5
96,96.0,1131.77,45.025,0.3989,44.9,45.15,0.25,97.38451012637987,-2,-0.7978,45.060548231292515,44.2369317273998,45.88416473518523,1.647233007785431,7.334510126379868,0.891156462585034,8,3,5
97,97.0,1131.77,45.0,0.3989,44.85,45.15,0.29999999999999716,97.38451012637987,-2,-0.7978,45.035503004535144,44.21211325801204,45.85889275105825,1.6467794930462105,7.384510126379865,0.8900226757369615,8,3,5
98,98.0,1131.77,45.025,0.3989,44.9,45.15,0.25,97.38451012637987,-2,-0.7978,45.06045777777778,44.23729478862429,45.883620766931266,1.646325978306976,7.334510126379868,0.8888888888888888,8,3,5
99,99.0,1131.77,45.05,0.3989,44.9,45.2,0.30000000000000426,97.38451012637987,-2,-0.7978,45.085412551020404,44.26247631923653,45.90834878280428,1.6458724635677555,7.284510126379871,0.8877551020408163,8,3,5
100,100.0,1131.83,44.975,0.399,44.85,45.1,0.25,97.38451012637987,-2,-0.798,45.010376190476194,44.18766671606193,45.833085664890454,1.645418948828521,7.4345101263798625,0.8866213151927438,8,3,5
101,101.0,1131.83,45.0,0.3989,44.85,45.15,0.29999999999999716,97.38451012637987,-2,-0.7978,45.03532209750567,44.21283938046103,45.85780481455031,1.6449654340892863,7.384510126379865,0.8854875283446711,8,3,5
102,102.0,1131.83,45.025,0.3989,44.9,45.15,0.25,53.1464892153066,-1,-0.7978,45.0602768707483,44.238020911073264,45.88253283042333,1.644511919350066,8.121489215306603,0.8843537414965986,9,4,5
103,103.0,1131.83,45.025,0.3991,44.9,45.15,0.25,53.1464892153066,-1,-0.3991,45.04262465419501,44.220595451889594,45.864653856500425,1.6440584046108313,8.121489215306603,0.8832199546485261,9,4,5
104,104.0,1131.83,45.025,0.399,44.9,45.15,0.25,53.1464892153066,-1,-0.399,45.04259761904762,44.220795174111814,45.864400063983425,1.643604889871611,8.121489215306603,0.8820861678004536,9,4,5
105,105.0,1131.83,45.025,0.3989,44.9,45.15,0.25,53.1464892153066,-1,-0.3989,45.0425705952381,44.22099490767191,45.864146282804285,1.6431513751323763,8.121489215306603,0.8809523809523809,9,4,5
106,106.0,1131.83,45.025,0.3991,44.9,45.15,0.25,53.1464892153066,-1,-0.3991,45.04255678004535,44.22120784984878,45.86390571024192,1.6426978603931417,8.121489215306603,0.8798185941043084,9,4,5
107,107.0,1131.83,45.075,0.399,44.95,45.2,0.25,53.1464892153066,-1,-0.399,45.092529761904764,44.2714075890778,45.913651934731725,1.6422443456539213,8.071489215306599,0.8786848072562359,9,4,5
108,108.0,1131.83,45.075,0.3989,44.95,45.2,0.25,53.1464892153066,-1,-0.3989,45.092502755102046,44.2716073396447,45.91339817055939,1.6417908309146867,8.071489215306599,0.8775510204081632,9,4,5
109,109.0,1131.83,45.025,0.399,44.9,45.15,0.25,53.1464892153066,-1,-0.399,45.04248452380952,44.22181586572179,45.86315318189725,1.6413373161754663,8.121489215306603,0.8764172335600907,9,4,5
110,110.0,1131.7,44.975,0.399,44.85,45.1,0.25,53.1464892153066,-1,-0.399,44.9924619047619,44.17202000404379,45.81290380548002,1.6408838014362317,8.1714892153066,0.8752834467120182,9,4,5
111,111.0,1131.7,44.9,0.3989,44.75,45.05,0.29999999999999716,53.1464892153066,-1,-0.3989,44.91743491496599,44.09721977161749,45.737650058314486,1.640430286696997,8.246489215306603,0.8741496598639455,9,4,5
112,112.0,1131.7,44.85,0.3991,44.7,45.0,0.29999999999999716,53.1464892153066,-1,-0.3991,44.867421031746034,44.047432645767145,45.68740941772492,1.6399767719577767,8.2964892153066,0.873015873015873,9,4,5
113,113.0,1131.7,44.875,0.3989,44.75,45.0,0.25,9.073861155707256,0,-0.3989,44.89238968820862,44.072628059599346,45.71215131681789,1.639523257218542,9.073861155707256,0.8718820861678005,10,5,5
114,114.0,1131.7,44.875,0.3992,44.75,45.0,0.25,9.073861155707256,0,0.0,44.875,44.055465128760346,45.694534871239654,1.6390697424793075,9.073861155707256,0.8707482993197279,10,5,5
115,115.0,1131.7,44.9,0.399,44.75,45.05,0.29999999999999716,9.073861155707256,0,0.0,44.9,44.080691886129955,45.71930811387004,1.638616227740087,9.073861155707256,0.8696145124716553,10,5,5
116,116.0,1131.7,44.95,0.3989,44.8,45.1,0.30000000000000426,9.073861155707256,0,0.0,44.95,44.13091864349958,45.76908135650043,1.6381627130008525,9.073861155707256,0.8684807256235828,10,5,5
117,117.0,1131.7,44.925,0.3989,44.8,45.05,0.25,9.073861155707256,0,0.0,44.925,44.10614540086918,45.74385459913081,1.637709198261632,9.073861155707256,0.8673469387755102,10,5,5
118,118.0,1131.7,44.875,0.3989,44.75,45.0,0.25,9.073861155707256,0,0.0,44.875,44.0563721582388,45.6936278417612,1.6372556835223975,9.073861155707256,0.8662131519274376,10,5,5
119,119.0,1131.7,44.875,0.3989,44.75,45.0,0.25,-34.98273775990116,1,0.0,44.875,44.05659891560842,45.69340108439158,1.6368021687831629,9.892262240098837,0.8650793650793651,11,6,5
120,120.0,1131.53,44.975,0.3989,44.85,45.1,0.25,-34.98273775990116,1,0.3989,44.957768605442176,44.139594278420205,45.77594293246415,1.6363486540439425,9.992262240098839,0.8639455782312925,11,6,5
121,121.0,1131.53,44.925,0.399,44.8,45.05,0.25,-34.98273775990116,1,0.399,44.9077869047619,44.089839335109545,45.72573447441425,1.6358951393047079,9.942262240098835,0.86281179138322,11,6,5
122,122.0,1131.53,44.975,0.3991,44.85,45.1,0.25,-34.98273775990116,1,0.3991,44.957805215419505,44.14008440313676,45.77552602770225,1.6354416245654875,9.992262240098839,0.8616780045351474,11,6,5
123,123.0,1131.53,45.0,0.399,44.85,45.15,0.29999999999999716,-34.98273775990116,1,0.399,44.98283214285714,44.165338087944015,45.80032619777027,1.6349881098262529,10.017262240098837,0.8605442176870748,11,6,5
124,124.0,1131.53,45.05,0.399,44.9,45.2,0.30000000000000426,-34.98273775990116,1,0.399,45.03285476190476,44.21558746436125,45.85012205944827,1.6345345950870183,10.067262240098835,0.8594104308390023,11,6,5
125,125.0,1131.53,45.05,0.399,44.9,45.2,0.30000000000000426,-34.98273775990116,1,0.399,45.03287738095238,44.21583684077848,45.84991792112628,1.6340810803477979,10.067262240098835,0.8582766439909297,11,6,5
126,126.0,1131.53,45.025,0.3991,44.9,45.15,0.25,-34.98273775990116,1,0.3991,45.007895714285716,44.191081931481435,45.82470949709,1.6336275656085633,10.042262240098836,0.8571428571428571,11,6,5
127,127.0,1131.53,45.025,0.399,44.9,45.15,0.25,-34.98273775990116,1,0.399,45.00792261904762,44.19133559361295,45.82450964448229,1.6331740508693429,10.042262240098836,0.8560090702947846,11,6,5
128,128.0,1131.53,45.025,0.399,44.9,45.15,0.25,-34.98273775990116,1,0.399,45.00794523809524,44.191584970030185,45.82430550616029,1.6327205361301083,10.042262240098836,0.854875283446712,11,6,5
129,129.0,1131.53,45.025,0.3993,44.9,45.15,0.25,-34.98273775990116,1,0.3993,45.00795505102041,44.19182154032497,45.82408856171585,1.6322670213908737,10.042262240098836,0.8537414965986394,11,6,5
130,130.0,1131.56,45.0,0.3993,44.85,45.15,0.29999999999999716,-34.98273775990116,1,0.3993,44.98297768707483,44.167070933749,45.798884440400656,1.6318135066516533,10.017262240098837,0.8526077097505669,11,6,5
131,131.0,1131.56,45.0,0.3991,44.85,45.15,0.29999999999999716,-34.98273775990116,1,0.3991,44.98300883786848,44.16732884191227,45.79868883382469,1.6313599919124186,10.017262240098837,0.8514739229024944,11,6,5
132,132.0,1131.56,45.0,0.399,44.85,45.15,0.29999999999999716,-34.98273775990116,1,0.399,44.98303571428571,44.16758247569911,45.79848895287231,1.6309064771731983,10.017262240098837,0.8503401360544217,11,6,5
133,133.0,1131.56,45.0,0.399,44.85,45.15,0.29999999999999716,-34.98273775990116,1,0.399,44.98305833333333,44.16783185211635,45.798284814550314,1.6304529624339636,10.017262240098837,0.8492063492063492,11,6,5
